	16384	1	5898M	1024M	180	64	2048	128M	128M	200	4788
	16384	2	5898M	1024M	180	64	2048	128M	128M	400	4788
	16384	8	5898M	1024M	180	64	2048	128M	128M	1600	4788
	16384	32	5898M	1024M	180	64	2048	128M	128M	4000	4788
	65536	1	23592M	1024M	180	64	2048	128M	128M	200	4788
	65536	2	23592M	1024M	180	64	2048	128M	128M	400	4788
	65536	8	23592M	1024M	180	64	2048	128M	128M	1600	4788
	65536	32	23592M	1024M	180	64	2048	128M	128M	4000	4788
SNPANEL_MARIADB_BUFFER_POOL_SIZE=2G	4096	4	2048M	512M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_BUFFER_POOL_SIZE=1048576K	4096	4	1024M	256M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_BUFFER_POOL_SIZE=1025K	4096	4	128M	64M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_BUFFER_POOL_SIZE=700	4096	4	700M	175M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_BUFFER_POOL_SIZE=nonsense	4096	4	1146M	286M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_BUFFER_POOL_SIZE=99999M	4096	4	2457M	614M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_MAX_CONNECTIONS=5	4096	4	1146M	286M	20	32	1024	64M	96M	800	2580
SNPANEL_MARIADB_MAX_CONNECTIONS=99999	4096	4	1146M	286M	1000	32	1024	64M	96M	800	3560
SNPANEL_MARIADB_MAX_CONNECTIONS=abc	4096	4	1146M	286M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_THREAD_CACHE_SIZE=1	4096	4	1146M	286M	80	8	1024	64M	96M	800	2640
SNPANEL_MARIADB_THREAD_CACHE_SIZE=9999	4096	4	1146M	286M	80	256	1024	64M	96M	800	2640
SNPANEL_MARIADB_TABLE_OPEN_CACHE=1	4096	4	1146M	286M	80	32	256	64M	96M	800	2048
SNPANEL_MARIADB_TABLE_OPEN_CACHE=999999	4096	4	1146M	286M	80	32	65535	64M	96M	800	131662
SNPANEL_MARIADB_TMP_TABLE_SIZE=4M	4096	4	1146M	286M	80	32	1024	16M	96M	800	2640
SNPANEL_MARIADB_TMP_TABLE_SIZE=4G	4096	4	1146M	286M	80	32	1024	512M	96M	800	2640
SNPANEL_MARIADB_MAX_ALLOWED_PACKET=1G	4096	4	1146M	286M	80	32	1024	64M	512M	800	2640
SNPANEL_MARIADB_LOG_FILE_SIZE=16M	4096	4	1146M	64M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_LOG_FILE_SIZE=4G	4096	4	1146M	1024M	80	32	1024	64M	96M	800	2640
SNPANEL_MARIADB_IO_CAPACITY=1	4096	4	1146M	286M	80	32	1024	64M	96M	200	2640
SNPANEL_MARIADB_IO_CAPACITY=99999	4096	4	1146M	286M	80	32	1024	64M	96M	4000	2640
SNPANEL_MARIADB_OPEN_FILES_LIMIT=10	4096	4	1146M	286M	80	32	1024	64M	96M	800	2048
SNPANEL_MARIADB_OPEN_FILES_LIMIT=999999	4096	4	1146M	286M	80	32	1024	64M	96M	800	200000
